X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,y
80.15244438,65.67158112,50.17959583,16.1519004,16.44042416,68.5940698,64.56330477,50.87597412,88.12948195,23.07407795,32.05703092,50.8326618,30.05060004,74.02731008,77.58128776,84.04644593,87.7806392,61.87364117,53.98854581,77.15708625,23.15232579,91.6031274,12.55642076,82.05718845,13.86151926,27.69605981,38.96346898,77.93065838,57.81897462,50.8713118,25.42012656,26.01314047,22.07555677,13.18382879,22.86363037,23.2312036,62.88475737,62.52063392,2.785278927,59.31097632,38.34438273,17.92155476,26.91883428,38.56519409,62.07423233,22.54469193,28.45446719,78.60168873,24.60166622,90.74043266,25.08413545
2.523884876,12.71743304,72.67063917,71.58377047,12.08849458,86.41963743,0.975648616,84.88335281,90.04093239,39.54444307,27.67842482,38.19076775,8.509917487,36.47645477,72.19997591,44.16927006,11.71769782,78.23522689,38.31438189,60.84729559,15.22547721,69.7211771,92.63182592,73.67476453,14.00807702,39.3023803,67.86812928,31.15436409,17.96301741,48.27182011,48.19424851,93.19048109,38.30467594,54.49821558,43.40494294,37.49833798,98.9725562,45.4145611,81.90839011,70.35056963,11.69853429,23.04990503,43.55445286,84.02963215,5.780389789,38.16378763,42.3263617,21.45741377,45.61787679,39.7477045,42.19167926
67.20183261,37.11431012,22.05282031,87.49049262,23.66799521,49.76856613,57.17601965,70.67732571,62.14269947,84.46501904,15.20896268,25.54982903,67.99772205,83.56257176,47.1853127,18.87187101,9.181521554,8.349875757,59.12590108,46.79507271,27.22022519,99.21681776,28.76956093,48.44520078,15.02519597,94.13686567,53.58361874,1.993304375,37.34644772,71.82676217,94.54715172,59.95931495,83.7359466,19.4859796,75.57738354,88.60517462,34.37269852,73.28000483,31.12314378,51.20321389,47.08974462,69.78461351,82.34250451,75.34266016,34.08609363,83.90335386,94.43743889,80.62089127,78.70363194,61.68041229,84.97260404
4.953185981,48.83263041,26.11020065,54.71363664,19.51089848,45.68047333,19.22705059,27.20093303,3.984704963,42.50758509,23.63540756,72.92772294,84.45152913,31.23544396,53.69667986,79.91795791,61.00129955,31.87485076,51.56998667,28.52966113,36.20325932,38.42899611,55.98762117,11.56068456,61.33872939,45.73634099,34.62263125,95.8867061,5.900475569,95.91474482,38.56412096,70.59253096,42.66558052,85.43600368,41.55313674,42.70380948,62.75231561,14.8754681,25.07900435,32.49686467,11.27668894,73.8913792,46.34415284,57.99401435,8.092710236,49.13596826,40.93679805,51.93672059,48.83538217,78.96438523,43.43497802
90.42626414,12.44551328,5.343008693,68.3420294,80.80517564,80.32718345,67.80331864,2.947237855,0.122347032,38.33450183,37.91056396,76.17830958,44.09189979,57.87410045,58.74463203,53.23201674,38.18692584,41.6432644,43.20680769,74.5957508,81.02550078,9.669624758,36.03010739,9.236850636,77.02864811,38.28609041,30.5772081,24.45656708,55.71573682,62.06155417,34.42773598,17.66783074,38.3583903,40.34467975,32.69442554,32.19759966,64.15104421,30.49825632,21.88287578,86.72967241,79.28641767,4.659678158,35.6171085,50.69830443,15.91192603,31.74103876,39.5088808,32.42140629,31.4982361,90.7398477,34.70252377
90.13200002,84.43040731,51.05391347,11.81717403,51.23219022,28.41139324,41.15624763,83.46443716,8.065209654,35.96420768,46.90205418,61.59434416,41.59902229,9.714612877,99.94388646,31.70612194,21.77346894,88.03436218,53.30104416,12.83855005,90.36935794,14.30947736,74.47101446,68.22868376,60.32202067,38.20560574,47.98648388,99.23663686,7.463279017,92.31929132,36.26428912,72.22558619,40.63870216,9.67887633,38.61110093,32.95753545,79.2518252,73.40546667,49.72886436,34.52008264,24.26634547,70.87053752,35.85119274,4.984785011,86.00109569,41.17682631,32.31705274,84.45394028,31.72428464,2.343117399,36.09617488
53.1937768,49.39079471,49.11179834,95.42471447,60.51060976,98.46543386,73.54571188,6.658781506,93.76709813,15.30867635,35.23609606,87.68990166,4.612293793,20.577444,16.93381499,57.35116738,89.50001765,66.03652944,31.36205513,5.154386885,62.81708463,44.34376797,29.82374339,21.07956635,75.34965849,16.71684592,46.83716702,15.55003626,19.89010584,15.38631991,18.67680848,9.701028909,20.16890737,19.06054523,18.06764212,18.0752502,81.94756147,5.179222464,30.65036747,98.23112646,92.36064286,3.42172177,15.59924067,5.521073146,2.410107944,15.96898537,20.28574204,7.669605315,16.92657289,61.77181778,17.8745239
27.30252193,82.83172813,3.30505881,40.34779796,9.935088689,78.72233642,43.83483864,91.90419798,75.99910551,26.53341272,69.20744744,41.91985931,74.1610209,11.27528611,10.38417351,58.61182967,15.91238561,65.84269332,60.0076759,42.75770674,68.71733277,21.56969714,78.92034403,17.43287151,29.50368689,28.33738013,96.65453255,63.60385646,94.9273508,30.21563368,27.38991613,23.27230445,30.95187188,48.48289872,32.37395602,28.31410432,29.5630797,2.707372815,4.475671169,46.10369802,7.930927002,2.180025959,27.22622654,87.12469803,0.582249556,30.59153718,29.8775954,84.78596418,29.44527774,73.08215441,28.16642839
3.530799202,7.662105211,67.29933829,48.3228843,2.447011159,4.419411789,1.959505933,41.75234584,63.40659948,80.53978653,3.215842205,26.06528327,49.9000716,34.96266815,28.61318581,22.42768423,21.07852334,0.935286214,74.41896112,45.39880042,18.61247837,97.01057349,25.04577958,6.189032039,42.68027684,84.45054165,97.43707168,90.44899617,14.32119161,16.96756475,80.72842303,86.47295833,79.14910566,20.59212499,67.03964564,67.04380962,80.52462083,33.49277873,51.04508251,81.65525985,98.66469693,22.4176005,71.33277842,2.711578365,74.51073122,68.68880992,66.48571624,74.71445631,79.6292766,61.80894144,77.89565602
7.929393672,67.56034205,4.053527769,1.159440936,94.76520622,14.52332847,77.85511883,67.33683492,11.50483571,54.98696463,4.122178466,25.48812018,3.516650782,60.4563613,46.9174068,90.292654,6.289036595,24.73925715,23.28135108,20.8579669,11.05118243,80.11668564,57.21524821,36.02161733,48.62881054,61.31609066,94.21738798,29.44910186,76.84511277,4.572914517,59.69507178,69.16855043,62.62385971,1.027185377,50.43514455,60.27612077,55.94844511,40.76007509,32.63051768,62.09361686,19.07287627,13.31162541,53.96470296,31.69798281,80.84315755,56.96026267,65.54019615,42.09771124,57.11551684,41.94869981,57.93163413
